,id,name,year,rating,genre,director,actor,other actor,area
15147,3213305,彼岸岛,2009,5.1,恐怖/,金泰均,大石哲也,石黒英雄,韩国/日本
15148,27082612,暗夜鬼抓床,2017,5.0,恐怖/,Dennis Bartok,Tom Abrams/Dennis Bartok,肖娜·麦克唐纳/LeahMcNamara/罗斯·诺贝尔,爱尔兰
15149,26581190,香港奇案之雾夜屠夫,1991,5.0,剧情/恐怖/情色/,鞠觉亮,周燕娴/余德伟,任达华/万绮雯/翁虹/刘锦玲,香港
15150,24852726,夺命金字塔,2014,4.9,恐怖/,格莱高利·莱瓦瑟,Daniel Meersand/Nick Simon,阿什丽·欣肖/丹尼斯·欧哈拉/詹姆斯·巴克利/ChristaNicola/AmirK,美国
15151,1301338,僵尸福星仔,1991,4.9,喜剧/恐怖/,夏秀轩/李百龄,高振伟,楼南光/吴君如/成奎安/叶子楣/罗青浩,香港
15152,1479892,阴阳路10：宣言咒,2001,4.9,喜剧/恐怖/,阮志强,韩耀庭/林华勋,黎耀祥/罗兰/姚乐怡/唐家辉/林雅诗,香港
15153,27062862,奶奶,2016,4.9,喜剧/恐怖/,Bordeekorn Lohachala,Ratklao Amratisha/Mum Jokmok/Hut Jiravich Pongpaijit,RatklaoAmratisha/MumJokmok/HutJiravichPongpaijit,泰国
15154,1480011,烹尸之丧尽天良,2001,4.8,恐怖/犯罪/,陈志舜,梁宝安,黎耀祥/关宝慧/叶世荣/罗兰/陈秀茹,香港
15155,1479893,阴阳路11：撩鬼攞命,2001,4.8,恐怖/,杨允敬,林华勋,罗兰/谭小环/李炜尚/唐家辉/张豪龙,香港
15156,10763099,死亡寿司,2012,4.7,喜剧/恐怖/,井口升,井口升,武田梨奈/松崎茂/岛津健太郎/津田宽治/须贺贵匡,日本
15157,3212733,陌生人2,2018,4.2,恐怖/,约翰内斯·罗伯茨,布莱恩·伯蒂诺/本·科泰,克里斯蒂娜·亨德里克斯/拜莉·麦迪逊/马丁·亨德森/艾玛·贝洛米/刘易斯·普尔曼,美国
15158,25957103,瑜伽妹斗罗,2016,4.1,喜剧/恐怖/奇幻/,凯文·史密斯,凯文·史密斯,约翰尼·德普/莉莉-罗丝·德普/哈莉·奎恩·史密斯/娜塔莎·雷昂/珍尼希斯·罗德里格兹,美国
15159,6026247,夜惊魂,2011,3.8,恐怖/,许斌,王佩晨,唐一菲/林申/李艳,中国大陆
15160,10535457,色欲之死,2012,3.7,恐怖/,友松直之,友松直之,小泽爱丽丝/亚纱美/相川优衣/小林沙耶/幸田李梨,日本
15161,4934096,史前巨鳄3,2010,3.6,剧情/恐怖/,格里夫·弗斯特,David Reed,ColinFerguson/YancyButler/KaceyBarnfield,美国
15162,30282678,没有好英雄,2018,3.1,剧情/喜剧/科幻/恐怖/,Johnny Xeno,Johnny Xeno,TimO'Leary/NovaGaver/ChadCrenshaw/MindyMarieMiller/NathanVarnson,美国
15163,27072786,潘多拉异兽,2017,3.6,恐怖/,Ryan Bellgardt,Ryan Bellgardt,AdamHampton/KristyK.Boone/GeoffBarron/ChristianBellgardt/KatieBurgess,美国
15164,27082626,黑暗,2018,,恐怖/,Justin P. Lange/Klemens Hufnagl,Justin P. Lange,NadiaAlexander/托比·尼克尔斯/卡尔·马克维斯,奥地利Austria
15165,27054941,退水之后,2017,,恐怖/,Luciano Onetti/Nicolás Onetti,Luciano Onetti/Nicolás Onetti,VictoriaMaurette/PabloGuisaKoestinger/VictorioD'Alessandro/MirtaBusnelli/ChuchoFernandez,阿根廷/新西兰
15166,27141903,睡魔,2017,,恐怖/,Peter Sullivan,Peter Sullivan,海莉·达芙/托宾·贝尔/肖恩·西珀斯/ShaeSmolik/阿曼达·怀斯,美国
15167,1295840,歌剧魅影,1989,8.4,剧情/恐怖/音乐/,德怀特·H·里特,Duke Sandefur/加斯顿·勒鲁/Gerry O'Hara,吉儿·修伦/罗伯特·英格兰德/AlexHyde-White/莫莉·香侬/EmmaRawson,美国
15168,1451750,厄舍古厦的倒塌,1928,7.8,恐怖/,让·爱普斯坦,埃德加·爱伦·坡/路易斯·布努埃尔/让·爱普斯坦,让·德比古/MargueriteGance/CharlesLamy/Fournez-Goffard/LucDartagnan,法国
15169,1296685,魔诫坟场,1994,7.6,喜剧/爱情/恐怖/,米歇尔·索伊,吉亚尼·洛莫里,鲁伯特·艾弗雷特/安娜·法尔奇/FrançoisHadji-Lazaro,法国/意大利/德国
15170,1306005,杀人鳄鱼潭,1989,7.3,恐怖/,Fabrizio De Angelis,Dardano Sacchetti/Fabrizio De Angelis,AnthonyCrenna/AnnDouglas/EnnioGirolami,意大利
15171,1995011,恶魔娃娃,1987,7.3,恐怖/,斯图尔特·戈登,埃德·纳哈,IanPatrickWilliams/CarolynPurdy-Gordon,美国
15172,1785489,布拉格的大学生,1913,7.3,剧情/恐怖/奇幻/,保罗·威格纳/斯特兰•赖伊,Hanns Heinz Ewers/埃德加·爱伦·坡,保罗·威格纳/约翰·戈托特/格蕾特·贝格尔/LydaSalmonova/LotharKörner,德国
15173,1300568,黑色安息日,1963,7.2,恐怖/,马里奥·巴瓦,马里奥·巴瓦/Alberto Bevilacqua/马尔切洛·丰达托/阿列克谢·托尔斯泰/F.G. Snyder,波利斯·卡洛夫/米歇尔·梅奇/利迪娅·阿方西/马克·达蒙/SusyAndersen,法国/意大利/美国
15174,3197036,夜半歌声,1985,7.1,爱情/恐怖/,杨延晋,徐银华/沈寂,王伟平/张琪/李天济/李芸/翟乃社,中国大陆
15175,1296588,邪屋,1963,7.1,恐怖/,罗伯特·怀斯,纳尔逊·吉丁/雪莉·杰克逊,朱丽·哈里斯/克莱尔·布鲁姆/理查德·约翰逊/拉斯·坦布林/费伊·康普顿,美国/英国
